"id","mz_ratio","intensity"
"Cyclomarin D M+H",360.190552,398.985901
"Cyclomarin D M+H",364.201324,497.670013
"Cyclomarin D M+H",365.207092,165.0914
"Cyclomarin D M+H",372.22818,2805.278076
"Cyclomarin D M+H",373.232361,964.63562
"Cyclomarin D M+H",374.234344,180.283295
"Cyclomarin D M+H",375.207245,2487.366943
"Cyclomarin D M+H",376.212769,1170.28894
"Cyclomarin D M+H",377.218842,246.628403
"Cyclomarin D M+H",378.203888,183.1754
"Cyclomarin D M+H",382.213409,1826.182983
"Cyclomarin D M+H",383.215973,846.38208
"Cyclomarin D M+H",392.236481,243.115097
"Cyclomarin D M+H",399.238953,161.201797
"Cyclomarin D M+H",400.231049,242.260803
"Cyclomarin D M+H",404.255066,3201.566895
"Cyclomarin D M+H",405.257629,1016.961975
"Cyclomarin D M+H",406.262268,205.658295
"Cyclomarin D M+H",417.247437,172.201996
"Cyclomarin D M+H",427.235931,437.394012
"Cyclomarin D M+H",428.233521,260.077789
"Cyclomarin D M+H",443.265137,2498.084961
"Cyclomarin D M+H",444.270264,936.315186
"Cyclomarin D M+H",445.246918,913.951416
"Cyclomarin D M+H",446.247528,341.514313
"Cyclomarin D M+H",453.25412,794.018677
"Cyclomarin D M+H",454.25769,420.230103
"Cyclomarin D M+H",455.258209,310.793396
"Cyclomarin D M+H",473.275574,1568.272949
"Cyclomarin D M+H",474.278961,677.781494
"Cyclomarin D M+H",475.29187,9198.02832
"Cyclomarin D M+H",476.294708,3460.199951
"Cyclomarin D M+H",477.290253,838.913696
"Cyclomarin D M+H",478.285583,169.271103
"Cyclomarin D M+H",483.29657,830.064575
"Cyclomarin D M+H",484.298187,288.257996
"Cyclomarin D M+H",505.299683,338.91391
"Cyclomarin D M+H",509.312317,181.515594
"Cyclomarin D M+H",519.33313,3679.756104
"Cyclomarin D M+H",520.336243,1869.86499
"Cyclomarin D M+H",521.337891,431.889893
"Cyclomarin D M+H",544.348267,243.659805
"Cyclomarin D M+H",572.344238,4249.666992
"Cyclomarin D M+H",573.347473,1711.582031
"Cyclomarin D M+H",574.351501,446.862915
"Cyclomarin D M+H",576.374695,215.050598
"Cyclomarin D M+H",580.343384,191.546707
"Cyclomarin D M+H",582.365662,1795.488037
"Cyclomarin D M+H",583.368347,830.859375
"Cyclomarin D M+H",584.36908,219.460602
"Cyclomarin D M+H",586.363586,197.196198
"Cyclomarin D M+H",598.308899,255.706802
"Cyclomarin D M+H",604.370483,6060.844238
"Cyclomarin D M+H",605.374207,2748.675049
"Cyclomarin D M+H",606.377136,534.126404
"Cyclomarin D M+H",614.390686,1357.027954
"Cyclomarin D M+H",615.394592,526.5177
"Cyclomarin D M+H",616.393799,182.563995
"Cyclomarin D M+H",618.404419,257.81369
"Cyclomarin D M+H",648.412598,1114.63501
