"id"	"mz_ratio"	"intensity"
"Portoamide_B M+H"	853.085938	1958954
"Portoamide_B M+H"	869.833862	542349
"Portoamide_B M+H"	871.435791	1023208
"Portoamide_B M+H"	885.44519	516199
"Portoamide_B M+H"	892.216553	274555
"Portoamide_B M+H"	902.423096	291916
"Portoamide_B M+H"	903.336426	1612811
"Portoamide_B M+H"	905.317993	270672
"Portoamide_B M+H"	906.047363	221138
"Portoamide_B M+H"	914.192871	1226067
"Portoamide_B M+H"	920.362549	520755
"Portoamide_B M+H"	922.193481	355716
"Portoamide_B M+H"	933.255005	218006
"Portoamide_B M+H"	949.150024	575841
"Portoamide_B M+H"	949.906372	212684
"Portoamide_B M+H"	968.283203	1600017
"Portoamide_B M+H"	985.377563	1075110
"Portoamide_B M+H"	986.371948	623151
"Portoamide_B M+H"	989.414673	174330
"Portoamide_B M+H"	990.097656	198883
"Portoamide_B M+H"	994.084961	1140275
"Psammaplin_A M+H"	191.023956	1960
"Psammaplin_A M+H"	192.04248	3555
"Psammaplin_A M+H"	204.301056	1492
"Psammaplin_A M+H"	212.300232	2258
"Psammaplin_A M+H"	242.88652	1981
"Psammaplin_A M+H"	244.256622	1396
"Psammaplin_A M+H"	259.877258	2004
"Psammaplin_A M+H"	271.90564	4331
"Psammaplin_A M+H"	273.975342	2356
"Psammaplin_A M+H"	330.844025	30784
"Psammaplin_A M+H"	331.955841	37336
"Psammaplin_A M+H"	332.804047	109043
"Psammaplin_A M+H"	333.913971	36228
"Psammaplin_A M+H"	334.856506	8965
"Psammaplin_A M+H"	409.737732	2362
"Psammaplin_A M+H"	434.546814	2711
"Psammaplin_A M+H"	461.837524	7114
"Psammaplin_A M+H"	462.932312	4650
"Psammaplin_A M+H"	463.876526	2340
"Neodysidenin M+H"	194.070862	480805
"Neodysidenin M+H"	397.988037	621615
"Neodysidenin M+H"	401.793945	638120
"Neodysidenin M+H"	437.479736	231844
"Neodysidenin M+H"	438.700928	557335
"Neodysidenin M+H"	439.768433	1075578
"Neodysidenin M+H"	461.589844	338775
"Neodysidenin M+H"	487.930847	225941
"Neodysidenin M+H"	496.125244	599083
"Neodysidenin M+H"	497.364746	2306981
"Neodysidenin M+H"	498.0177	756853
"Neodysidenin M+H"	498.84137	2005577
"Neodysidenin M+H"	499.851807	619318
"Neodysidenin M+H"	531.113892	232624
"Neodysidenin M+H"	532.866333	5928071
"Neodysidenin M+H"	533.852783	17692824
"Neodysidenin M+H"	534.813721	15519342
"Neodysidenin M+H"	535.835693	20375920
"Neodysidenin M+H"	536.894287	3159547
"Hoiamide_A M+H"	409.016296	261294
"Hoiamide_A M+H"	422.094604	171626
"Hoiamide_A M+H"	461.112549	161824
"Hoiamide_A M+H"	507.129028	289393
"Hoiamide_A M+H"	519.091736	208775
"Hoiamide_A M+H"	521.11499	676906
"Hoiamide_A M+H"	521.984314	282546
"Hoiamide_A M+H"	539.166992	184296
"Hoiamide_A M+H"	544.037537	155136
"Hoiamide_A M+H"	553.097168	1059376
"Hoiamide_A M+H"	557.106812	201405
"Hoiamide_A M+H"	598.851196	328290
"Hoiamide_A M+H"	618.053223	238608
"Hoiamide_A M+H"	631.134705	210777
"Hoiamide_A M+H"	637.187866	235153
"Hoiamide_A M+H"	642.877014	323549
"Hoiamide_A M+H"	649.08667	1237074
"Hoiamide_A M+H"	656.963562	303491
"Hoiamide_A M+H"	660.901245	621461
"Hoiamide_A M+H"	663.086609	490856
"Hoiamide_A M+H"	674.450745	183296
"Hoiamide_A M+H"	675.162781	1060338
"Hoiamide_A M+H"	689.11731	695214
"Hoiamide_A M+H"	693.085693	1019332
"Hoiamide_A M+H"	694.302979	435813
"Hoiamide_A M+H"	706.220154	244246
"Hoiamide_A M+H"	707.100891	664948
"Hoiamide_A M+H"	708.131775	160372
"Hoiamide_A M+H"	724.145508	753335
"Hoiamide_A M+H"	738.090393	378419
"Hoiamide_A M+H"	751.368958	357954
"Hoiamide_A M+H"	753.286621	222376
"Hoiamide_A M+H"	756.227234	677573
"Hoiamide_A M+H"	757.224243	305923
"Hoiamide_A M+H"	761.247131	192377
"Hoiamide_A M+H"	762.804749	279541
"Hoiamide_A M+H"	765.112366	415324
"Hoiamide_A M+H"	766.235657	206906
"Hoiamide_A M+H"	768.986816	253931
"Hoiamide_A M+H"	769.863098	212607
"Hoiamide_A M+H"	771.210571	156764
"Hoiamide_A M+H"	775.281799	157489
"Hoiamide_A M+H"	776.202148	462326
"Hoiamide_A M+H"	777.210571	209185
"Hoiamide_A M+H"	778.13562	225096
"Hoiamide_A M+H"	781.993713	173008
"Hoiamide_A M+H"	790.212341	180135
"Hoiamide_A M+H"	791.271484	262503
"Hoiamide_A M+H"	792.101379	254473
"Hoiamide_A M+H"	794.096313	4598531
"Hoiamide_A M+H"	795.127441	1283405
"Hoiamide_A M+H"	796.095703	371717
"Hoiamide_A M+H"	797.019104	200322
"Hoiamide_A M+H"	807.130493	343946
"Hoiamide_A M+H"	808.156128	474644
"Hoiamide_A M+H"	812.116211	277672
"Hoiamide_A M+H"	814.2099	418749
"Hoiamide_A M+H"	825.041321	623110
"Hoiamide_A M+H"	826.453491	826120
"Hoiamide_A M+H"	827.450867	544739
"Hoiamide_A M+H"	828.249634	261403
"Hoiamide_A M+H"	830.325684	386502
"Hoiamide_A M+H"	832.21106	256294
"Hoiamide_A M+H"	840.379333	274523
"Hoiamide_A M+H"	846.465271	433472
"Hoiamide_A M+H"	847.505554	359814
"Hoiamide_A M+H"	848.32428	364042
"Hoiamide_A M+H"	854.291992	312307
"Hoiamide_A M+H"	857.171387	328003
"Hoiamide_A M+H"	858.124023	3212771
"Hoiamide_A M+H"	859.033203	340409
"Hoiamide_A M+H"	861.275146	222368
"Hoiamide_A M+H"	862.240662	836409
"Hoiamide_A M+H"	863.217957	173839
"Hoiamide_A M+H"	864.164185	1240136
"Hoiamide_A M+H"	865.194458	302187
"Hoiamide_A M+H"	872.256653	467101
"Hoiamide_A M+H"	875.563538	1121065
"Hoiamide_A M+H"	876.235962	6974744
"Hoiamide_A M+H"	877.198425	812353
"Hoiamide_A M+H"	879.180908	557000
"Hoiamide_A M+H"	880.322205	3530676
"Hoiamide_A M+H"	881.426514	798464
"Hoiamide_A M+H"	882.108704	197447
"Hoiamide_A M+H"	883.262085	229441
"Hoiamide_A M+H"	890.234131	7131344
"Hoiamide_A M+H"	891.278931	1631266
"Hoiamide_A M+H"	892.102478	176103
"Hoiamide_A M+H"	893.207153	833615
"Hoiamide_A M+H"	893.887268	1574424
"Hoiamide_A M+H"	894.393066	1523349
"Hoiamide_A M+H"	895.215149	405974
"Hoiamide_A M+H"	898.126038	328808
"Hoiamide_A M+H"	907.339844	985952
"Hoiamide_A M+H"	908.249451	15342980
"Hoiamide_A M+H"	909.291443	2551218
"Hoiamide_A_triacetate M+Na"	771.039795	9874096
"Hoiamide_A_triacetate M+Na"	831.233521	17801640
"Hoiamide_A_triacetate M+Na"	878.288086	14915640
"Hoiamide_A_triacetate M+Na"	893.979126	14795568
"Hoiamide_A_triacetate M+Na"	910.262085	126397584
"Hoiamide_A_triacetate M+Na"	913.287354	13879900
"Hoiamide_A_triacetate M+Na"	922.131104	51394880
"Hoiamide_A_triacetate M+Na"	938.369873	11638930
"Hoiamide_A_triacetate M+Na"	954.245605	145377344
"Hoiamide_A_triacetate M+Na"	970.242554	345854080
"Hoiamide_A_triacetate M+Na"	982.192993	100010288
"Hoiamide_A_triacetate M+Na"	986.279053	12467072
"Hormothamnione_diacetate M+H"	228.076141	6941702
"Hormothamnione_diacetate M+H"	402.054199	64048920
"Hormothamnione_diacetate M+H"	403.016785	8784616
"Hormothamnione_diacetate M+H"	411.476379	6739075
"Hormothamnione_diacetate M+H"	438.067749	12857268
"Hormothamnione_diacetate M+H"	443.111084	55084184
"Hormothamnione_diacetate M+H"	444.069275	392248192
"Hormothamnione_diacetate M+H"	445.095093	89800128
"Hormothamnione_diacetate M+H"	445.993652	17409848
